City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Kang,BW,69.22,light rain,-23.6752,22.7876,Kang Ultra Stop
236,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
238,Sharjah,AE,69.8,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
239,Gamba,GA,79.21,overcast clouds,-2.65,10.0,
245,Taganak,PH,80.6,few clouds,6.0833,118.3,Taganak
249,Gigmoto,PH,78.49,overcast clouds,13.7796,124.39,Cj's Travellers Inn
250,Richards Bay,ZA,74.97,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
254,Bani Walid,LY,70.88,broken clouds,31.7566,13.9942,منزل الصابر أبوفانة
256,Vicuna,CL,82.99,clear sky,-30.0319,-70.7081,Los Mosaicos
258,Praya,CV,69.8,scattered clouds,14.9215,-23.5087,LT Aparthotel
264,Puerto Escondido,MX,84.2,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
265,Ancud,CL,82.4,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
266,Bogale,MM,70.36,scattered clouds,16.2833,95.4,Aung Pin Lel Guest House
267,Ouro Preto Do Oeste,BR,81.32,broken clouds,-10.7481,-62.2158,Graúna Resort Hotel
275,Labuhan,ID,78.42,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
278,Kahului,US,75.2,clear sky,20.8947,-156.47,Maui Seaside Hotel
280,Carnarvon,AU,75.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
281,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
282,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
285,Charters Towers,AU,76.68,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
287,Port Blair,IN,78.03,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
288,Villarrica,PY,83.37,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
291,Faanui,PF,81.16,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
293,Bubaque,GW,77.36,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
294,Katherine,AU,75.2,overcast clouds,-14.4667,132.2667,Pine Tree Motel
300,Sabang,ID,81.32,scattered clouds,5.8933,95.3214,Hotel Citra
301,Sola,VU,81.14,overcast clouds,-13.8833,167.55,Leumerus Bungalows
305,Coihaique,CL,78.8,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
312,Meoqui,MX,69.8,clear sky,28.2833,-105.4833,Hotel Paraíso Dorado
314,Nabire,ID,75.58,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
315,Carutapera,BR,83.21,clear sky,-1.195,-46.02,Lidera
316,Boende,CD,77.02,overcast clouds,-0.2167,20.8667,
323,Jacareacanga,BR,81.3,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
327,Ngunguru,NZ,68.0,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
329,Bandarbeyla,SO,75.74,few clouds,9.4942,50.8122,JABIR HOTEL
336,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
338,Inhambane,MZ,82.4,few clouds,-23.865,35.3833,Oceano
