City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Hella,NO,2021-02-07 14:19:03,67.2,14.4333,30.2,93,75,2.3
256,Grindavik,IS,2021-02-07 14:19:03,63.8424,-22.4338,35.6,60,0,16.11
257,Broken Hill,AU,2021-02-07 14:19:03,-31.95,141.4333,69.8,40,0,11.5
258,Carutapera,BR,2021-02-07 14:19:03,-1.195,-46.02,85.69,66,17,9.42
259,Srednekolymsk,RU,2021-02-07 14:19:03,67.45,153.6833,-8.27,88,100,6.85
260,La Romana,DO,2021-02-07 14:15:03,18.4273,-68.9728,78.8,89,20,4.61
261,Hay River,CA,2021-02-07 14:19:03,60.8156,-115.7999,-41.8,66,38,2.3
262,Erzin,TR,2021-02-07 14:19:04,36.9559,36.2,66.2,63,75,13.8
263,Taraz,KZ,2021-02-07 14:19:04,42.9,71.3667,39.2,100,90,6.71
264,Tomatlan,MX,2021-02-07 14:19:04,19.9333,-105.25,64.78,91,15,2.42
265,Muhos,FI,2021-02-07 14:19:04,64.808,25.9931,19.0,86,90,6.91
266,Mahebourg,MU,2021-02-07 14:16:07,-20.4081,57.7,84.2,70,40,12.66
267,Zacualpan,MX,2021-02-07 14:19:04,21.25,-105.1667,41.0,100,1,3.29
268,Talnakh,RU,2021-02-07 14:19:04,69.4865,88.3972,-25.37,71,0,3.27
269,Te Anau,NZ,2021-02-07 14:19:04,-45.4167,167.7167,53.69,82,100,3.33
270,Muravlenko,RU,2021-02-07 14:19:05,63.7898,74.523,30.96,99,100,18.75
271,Rincon,US,2021-02-07 14:19:05,32.296,-81.2354,44.6,93,90,8.05
272,Bagrami,AF,2021-02-07 14:19:05,34.4938,69.2743,59.0,25,0,3.44
273,Aborlan,PH,2021-02-07 14:19:05,9.4352,118.5492,78.35,83,66,6.49
274,Murgab,TM,2021-02-07 14:19:05,37.4966,61.9714,59.0,58,75,4.61
275,Forio,IT,2021-02-07 14:19:05,40.7342,13.8646,59.0,87,100,22.75
276,Arraial Do Cabo,BR,2021-02-07 14:14:15,-22.9661,-42.0278,78.8,73,75,8.05
277,Chokurdakh,RU,2021-02-07 14:19:05,70.6333,147.9167,-30.15,84,30,0.43
278,Maanshan,CN,2021-02-07 14:19:05,31.6957,118.4983,48.99,81,75,13.42
279,Burnie,AU,2021-02-07 14:19:05,-41.0667,145.9167,57.0,72,48,10.92
280,Nizwa,OM,2021-02-07 14:19:06,22.9333,57.5333,69.53,25,0,5.68
281,Luderitz,NA,2021-02-07 14:18:41,-26.6481,15.1594,79.54,43,0,34.99
282,Ust-Kuyga,RU,2021-02-07 14:19:06,70.0167,135.6,-29.16,81,1,3.38
283,Mitsamiouli,KM,2021-02-07 14:19:06,-11.3847,43.2844,89.6,66,20,9.22
284,Coquimbo,CL,2021-02-07 14:19:06,-29.9533,-71.3436,64.4,72,90,2.3
285,Chipinge,ZW,2021-02-07 14:19:06,-20.1883,32.6236,74.39,86,57,5.66
286,Havre-Saint-Pierre,CA,2021-02-07 14:19:06,50.2334,-63.5986,23.0,68,1,26.46
287,Cochrane,CA,2021-02-07 14:17:49,51.1834,-114.4687,-17.0,76,1,3.44
288,Vaitape,PF,2021-02-07 14:19:06,-16.5167,-151.75,81.07,77,10,14.0
289,Marsa Matruh,EG,2021-02-07 14:19:07,31.3525,27.2453,69.8,52,0,8.05
290,Port Elizabeth,ZA,2021-02-07 14:19:07,-33.918,25.5701,69.8,94,75,10.36
291,Newburn,GB,2021-02-07 14:19:07,54.9876,-1.7442,35.01,69,90,19.57
292,Kenora,CA,2021-02-07 14:19:07,49.8167,-94.4337,-31.0,75,20,10.36
293,Blyth,GB,2021-02-07 14:19:07,55.1271,-1.5086,35.01,69,90,19.57
